;Date;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;AVG
20;27/07/10;45,526649;116,096649;20,023067;47,032021;25,37546;19,131203;50,405663;35,75621;10,342323;29,943142;38,785427;0,001448412;-0,001601333;-0,003327094;0,001496938;0,001305244;-0,001343241;-0,003903837;0,000262917;-0,003289649;-0,006935346;0,001446337;-0,001312787
21;28/07/10;45,678738;115,669365;19,870258;47,194412;25,451839;19,072123;49,954601;35,777863;10,264279;29,468771;38,91481;0,001923767;0,003416678;0,008665669;0,002635863;-0,000724638;0,000869466;-0,00243462;-0,000525836;-0,00296435;0,000543442;-0,000594841;0,000982782
22;29/07/10;45,881527;116,582947;20,27072;47,48172;25,409407;19,110344;49,675343;35,73457;10,194457;29,505669;38,861546;-0,001020972;-0,002063341;0;0,001084114;0,000145035;0,000946717;0,002185419;-0,001493549;0,000524485;-0,004366431;0,001104136;-0,000268581
23;30/07/10;45,773792;116,030373;20,27072;47,600395;25,417894;19,152048;49,925945;35,611889;10,206776;29,210503;38,960472;0,017442586;0,014534668;0,010594441;0,008967776;0,008329994;0,010125706;0,003226564;0,005682881;-0,000703319;0,01863692;0,001862408;0,008972784
24;02/08/10;47,649624;119,979309;20,771297;48,593517;25,910128;19,60383;50,298248;36,080944;10,19026;30,491301;39,127907;-0,002548933;-0,005393599;0,006343449;0,00477431;0,004809769;-0,000230924;0,001234791;0,000694298;0,000703361;0,005297671;-0,001014733;0,001333587
25;03/08/10;47,370781;118,498474;21,076916;49,130665;26,198675;19,593409;50,44146;36,138672;10,206777;30,865522;39,036591;0,001623737;-0,001108747;-0,006674137;0,001982975;-0,002115391;0,001307425;0,001477074;-0,004270148;0,008007262;0,001727237;0,002617029;0,000415847
26;04/08/10;47,548222;118,196335;20,755487;49,355507;26,071375;19,652483;50,613308;35,785084;10,396709;30,988522;39,272533;0,000115801;0,00024382;0,013994956;0,000274821;-0,006121932;-0,001384523;-0,001477074;-0,009383903;0;-0,001877649;0,000168167;-0,000495229
27;05/08/10;47,560902;118,262711;21,435217;49,386749;25,706444;19,589931;50,44146;35,020161;10,396709;30,854834;39,287743;0,00265366;-0,009187076;0,006884545;-0,001871537;0,011879812;0,002917762;0,007880303;0,004451548;0,002579575;0,000977478;0,001427997;0,002781279
28;06/08/10;47,852402;115,787254;21,777721;49,174381;26,419331;19,721987;51,365078;35,380966;10,458646;30,924358;39,417137;0,001492818;0,006826797;-0,004967008;0,003078032;-0,003220594;0,002746324;0,007085292;-0,002398134;0,005621481;0,002545723;0,002258365;0,001915372
29;09/08/10;48,01717;117,621727;21,530069;49,524139;26,224138;19,847097;52,209946;35,186134;10,594902;31,106161;39,622643;-0,01061778;-0,000653304;-0,008045635;-0,001371365;-0,001689892;-0,000989647;-0,00047678;0,003636515;-0,004422982;-0,000747174;0,001332591;-0,00218595
30;10/08/10;46,857464;117,444923;21,13488;49,368004;26,122295;19,801922;52,15266;35,481998;10,487548;31,052691;39,744408;-0,018662138;-0,017965999;-0,014532833;-0,010623512;-0,033119108;-0,007224215;-0,007638713;-0,004617391;-0,012840741;-0,0162295;-0,007569267;-0,013729401
31;11/08/10;44,886593;112,685555;20,439344;48,175037;24,204283;19,475254;51,243378;35,106754;10,182003;29,913673;39,057709;0,000673947;-0,009908527;-0,004614907;-0,000338209;-0,000304669;-0,002721123;0,002963132;0,011017707;-0,003536529;-0,004212468;-0,005051239;-0,001457535
32;12/08/10;44,956303;110,143715;20,223301;48,137535;24,187309;19,353611;51,5942;36,008778;10,099426;29,624926;38,606064;0,002076432;0,006000822;0,006179527;0,001855697;0,002582883;0,000312028;-0,001025722;0,000869508;-0,008426252;0,000548354;-0,000258543;0,000974067
33;13/08/10;45,171761;111,676178;20,513113;48,343662;24,331587;19,367521;51,472488;36,080944;9,905364;29,662355;38,583088;0,00400279;-0,002182939;-0,005953068;0,001735935;0,004070835;0,001167162;-0,000604649;0,00689373;-0,003088436;-7,84404E-05;8,6078E-05;0,000549909
34;16/08/10;45,590023;111,116257;20,233849;48,537285;24,56073;19,419641;51,400875;36,658241;9,835173;29,656998;38,590736;-0,010571533;0,003098976;-0,003976756;0,004377883;0,004924167;0,001861426;0,008565964;-0,000342114;0,008664392;0,004905621;0,005223704;0,002430157
35;17/08/10;44,493675;111,91198;20,049417;49,029037;24,840792;19,503054;52,424763;36,629375;10,03336;29,993891;39,057709;-0,012741974;-0,004079259;-0,008645759;-0,004095766;0,001037397;-0,002172281;0,000177816;0,003578598;0,00355985;-0,000464778;-0,001363932;-0,002291826
36;18/08/10;43,207218;110,86573;19,654228;48,568825;24,9002;19,405746;52,446232;36,932449;10,11594;29,961809;38,935238;-0,005319428;-0,009187506;-0,01252068;-0,006818016;-0,007766145;-0,004377522;-0,001663291;0,001271114;-0,00823158;-0,012342971;-0,006885567;-0,006712872
37;19/08/10;42,681225;108,544998;19,095688;47,812294;24,458887;19,211126;52,245754;37,040703;9,926009;29,122259;38,322803;0,000580063;-0,005726711;0,001913247;-0,004547575;0,004795522;0,000157109;0,000654318;-0,009321673;0,000180619;-0,005214663;0,001385784;-0,001376724
38;20/08/10;42,73827;107,123093;19,179998;47,314255;24,730461;19,218077;52,324528;36,254135;9,930138;28,774673;38,445282;-0,002000903;-0,006773161;-0,003353655;0;-0,011324135;0,002349746;0,001542298;0,000259164;-0,006733323;0,000725847;0,007883945;-0,001584016
39;23/08/10;42,541817;105,465385;19,032459;47,314255;24,093954;19,322338;52,510677;36,275776;9,777368;28,822805;39,14957;-0,011206127;-0,005372631;-0,014673587;-0,007412062;-0,003532709;0,000468311;-0,003687181;0,001121658;-0,01606614;-0,005922173;0,001356819;-0,005902347
40;24/08/10;41,458149;104,168716;18,400148;46,513599;23,89876;19,343185;52,066746;36,369587;9,422276;28,432436;39,272072;0,000597038;-0,000583781;0,004084873;0,001703596;-0,004339905;-0,002111758;0,002798051;0,001719995;0,010157262;0,000734454;0,002111036;0,001533715
41;25/08/10;41,515182;104,028786;18,574032;46,696415;23,661129;19,249357;52,403282;36,513912;9,645241;28,48056;39,463432;0,00191835;-0,005447424;0,002089438;-0,004360548;0,000155731;-0,001807073;-0,000178244;0,001028772;-0,001676563;-0,0026172;-0,004913819;-0,001437144
42;26/08/10;41,698967;102,732086;18,663609;46,229904;23,669615;19,169428;52,381779;36,60051;9,608078;28,309443;39,01944;0,010240583;0,005293427;0,001713214;0,009374008;0,011676132;0,007802884;0,004899436;0,001623845;0,003716747;0,010455561;0,000255563;0,006095582
43;27/08/10;42,693905;103,991905;18,737379;47,238598;24,314611;19,516954;52,976063;36,737617;9,690658;28,999258;39,042408;-0,005644935;0,003127009;-0,003679447;-0,006717055;-0,005031331;-0,004742997;-0,00415942;0,00119263;-0,000740764;-0,009226756;-0,003848996;-0,003588369
44;30/08/10;42,142563;104,74337;18,579302;46,513599;24,03455;19,304966;52,471111;36,838642;9,674143;28,389656;38,697918;0;0,002393054;-0,005328861;0,001762342;0,001377949;0,002572156;0,001906524;0,004232883;-0,008422356;-0,000327232;-0,003536781;-0,000306393
45;31/08/10;42,142563;105,322121;18,352724;46,702732;24,110929;19,419641;52,701962;37,199448;9,488338;28,368273;38,384052;0,023144118;0,013909761;0,016274915;0,015490531;0,012803107;0,010974157;0,008709594;0,010076052;0,013031814;0,01591408;0,009085512;0,013583058
46;01/09/10;44,449314;108,750023;19,05353;48,398602;24,832306;19,916607;53,769547;38,072601;9,777368;29,427067;39,195511;0,000371406;0,00801471;0,004896643;0,003829768;-0,000594143;0,000530033;0,002787609;0,00287161;0,017611259;0,003223653;0,00472433;0,004387898
47;02/09/10;44,487343;110,775589;19,269573;48,827286;24,798357;19,940929;54,115788;38,325176;10,182003;29,646309;39,624214;0,003696177;0,006496108;0,010094784;0,003073155;0,002814852;0,001360321;0,000405048;-0,002213514;0,007161339;0,006530802;0,002343037;0,003796555
48;03/09/10;44,86758;112,445007;19,722723;49,174023;24,959608;20,003487;54,166283;38,130337;10,351292;30,095491;39,838566;-0,006675843;-0,002212283;-0,002793682;-0,005321795;-0,014718218;0,000527906;0,004087351;-0,000575688;-0,003478628;-0,008100322;-0,001504625;-0,003705984
49;07/09/10;44,183163;111,873672;19,59626;48,575127;24,127901;20,027817;54,678474;38,079826;10,268711;29,539362;39,700783;0,006016209;0,003328438;0,013565751;0,001125673;0,00045812;0,001504425;0,001601255;0,003606218;-0,001574416;0,007637215;-0,000251412;0,003365225
50;08/09/10;44,799484;112,734367;20,218035;48,701195;24,153366;20,097315;54,880447;38,397343;10,231552;30,063416;39,677807;0,004704482;-0,003443453;-0,003979707;0,000618267;0,002738083;0,003440883;-0,00987279;-0,00163548;0,000875385;-7,73505E-05;0,000669798;-0,000541989
51;09/09/10;45,287411;111,844048;20,033611;48,770576;24,306126;20,257177;53,646927;38,253017;10,252196;30,058062;39,739048;0,000615235;0,00120821;0,002278665;0,008119869;0,007814482;0,001710293;0,003721271;-0,003206933;0,009857061;0,003462976;0,00050174;0,003280261
52;10/09/10;45,351612;112,155632;20,139;49,691002;24,747437;20,337109;54,108578;37,971588;10,487548;30,298697;39,784985;0,013855451;-0,00135245;0,001474578;0,002362739;0,008407438;-0,000374083;-0,002554993;0,002551006;0,00594358;0,005105475;0,002000868;0,003401783
53;13/09/10;46,821808;111,806908;20,207495;49,962078;25,231186;20,319599;53,791187;38,195286;10,632063;30,656984;39,968704;0,003617428;0,024812402;0,001920891;0,001422548;0,007386834;-0,003305428;-0,003684644;0,006434078;0,000505563;0,003771265;0,003727185;0,004237102
54;14/09/10;47,213436;118,380737;20,297071;50,125999;25,664009;20,165533;53,336742;38,765362;10,644447;30,924358;40,313198;-0,000709216;0,014323878;-0,00385038;-0,001641619;0,001720009;-0,001283919;0,004499187;-0,005860094;-0,000505563;0,003812948;0,001646342;0,001104688
55;15/09/10;47,136398;122,350266;20,117916;49,936882;25,765852;20,106005;53,89217;38,2458;10,632063;31,197058;40,466309;-0,000947395;-0,006260527;0,001022558;-0,000878288;-0,00157643;0,000680199;0,000522993;-0,008189089;-0,00033741;0,003263322;0,002375962;-0,000938555
56;16/09/10;47,033684;120,59919;20,16534;49,835995;25,672495;20,13752;53,957108;37,531391;10,623806;31,432358;40,688301;-0,004349296;0,006655301;-0,002732191;-0,003253391;-0,000143579;0,000377443;-0,00279602;-0,003437109;-0,003389048;-0,004008149;-0,001145366;-0,001656492
57;17/09/10;46,56501;122,461533;20,038876;49,464058;25,664009;20,155029;53,610844;37,235531;10,541225;31,1436;40,581135;0,008303034;0,017104403;0,007360356;0,007898219;0,013572833;0,003082444;0,004592104;0,008253496;0,012574438;0,008491894;0,00432048;0,0086867
58;20/09/10;47,463825;127,380836;20,381386;50,371857;26,478741;20,29859;54,180717;37,949936;10,850894;31,758553;40,986862;-0,002474225;-0,010057291;-0,001011877;-0,000815963;-0,002093028;0,001047533;0,002306679;-0,001074891;-0,001987603;0,000876536;0,000243511;-0,001367329
59;21/09/10;47,194187;124,464874;20,333954;50,277306;26,351437;20,34761;54,469254;37,856125;10,801347;31,822716;41,00985;0,005926419;-0,005235231;-0,005663775;-0,002731506;0,002232174;0,000896004;-0,002190989;0,006980396;-0,003835143;-0,002708522;0,002021832;-0,000391667
60;22/09/10;47,842617;122,973511;20,070494;49,962078;26,487226;20,389633;54,195152;38,469501;10,706383;31,624868;41,201214;-0,002689223;-0,01079796;0,000455726;-0,003908402;0,006536914;-0,002693298;-0,002841788;-0,002942732;-0,008114735;-0,001397515;-0,0013739;-0,002706083
61;23/09/10;47,547283;119,95369;20,091566;49,514465;26,888922;20,263577;53,841686;38,209717;10,508193;31,523266;41,071079;0,010944129;0,014684816;0,003742656;0,008650153;0,003808331;0,005592318;0,002668364;0,004487881;0,011451542;0,009833518;0,003467082;0,00721189
62;24/09/10;48,760689;124,079041;20,265459;50,510567;27,125748;20,526194;54,173515;38,606613;10,78896;32,245174;41,400272;-0,001546701;-0,003467838;0,002813769;-0,000216958;0,005218544;-0,000148174;-0,001970664;0,0020246;0,000332327;7,20371E-05;-0,004845416;-0,000157679
63;27/09/10;48,587341;123,092216;20,397184;50,48534;27,453661;20,519192;53,928253;38,78701;10,797219;32,250523;40,940937;0,007340466;0,007191453;0,006458852;0,004317146;0,001438537;0,003689877;-0,000755886;0,003941243;-0,000166112;0,001653;0,002752235;0,003441892
64;28/09/10;49,415546;125,147461;20,702799;50,989697;27,544748;20,694271;53,834473;39,140606;10,79309;32,373508;41,201214;-0,002206097;0,000231734;0,007777999;0,00214242;0,006839421;-0,002505771;-0,001048721;-0,003456721;-0,005685857;-7,18037E-05;-0,003809105;-0,000162955
