wsj;wsj_AR1_Innovation
0,0067983;0,0018016
0,0058061;-0,0004316
0,0074405;0,0017846
0,0050864;-0,0015279
0,0041706;-0,0010633
0,0049201;0,0002234
0,0069914;0,0018550
0,0052133;-0,0011377
0,0074687;0,0021605
0,0061734;-0,0004575
0,0062851;0,0004138
0,0055843;-0,0003525
0,0068314;0,0013056
0,0046306;-0,0016265
0,0080490;0,0030824
0,0047747;-0,0021965
0,0053734;0,0003224
0,0064438;0,0010416
0,0077887;0,0017588
0,0057815;-0,0010370
0,0069117;0,0012702
0,0071021;0,0007978
0,0052660;-0,0011499
0,0063121;0,0009730
0,0071003;0,0011476
0,0105964;0,0041815
0,0098793;0,0014143
0,0066251;-0,0014194
0,0086439;0,0025078
0,0086108;0,0012908
0,0104907;0,0031901
0,0064773;-0,0019258
0,0079800;0,0019305
0,0082202;0,0012895
0,0072877;0,0002162
0,0084432;0,0019184
0,0098590;0,0026567
0,0081386;0,0001060
0,0041012;-0,0029225
0,0050383;0,0003822
0,0094043;0,0041987
0,0070018;-0,0007641
0,0069811;0,0006241
