;Date;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;MCCC;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;AVG;FAMA&FRENCH
18;23/07/10;7,949283;118,870003;244,11499;245,275269;21,516907;29,159037;20,077063;2,378795;43,520855;4,258;25,862406;17,387552;0,48;-0,001104009;-0,001720564;-0,00096702;-0,000967019;0,011229847;0,005417818;0,004852354;0,007892785;0,004258298;-0,006991634;0,007657137;0,002806134;0,002697011;1,23
19;26/07/10;7,929101;118,400002;243,572037;244,729736;22,08054;29,525074;20,302641;2,422422;43,94968;4,19;26,322435;17,500263;0,61;0,007966337;-0,004683578;0,003238641;0,003238643;-0,006186074;0,003859535;0,000997345;-0,003720737;0,003872704;-0,008372201;-0,00962797;0,003015279;-0,000533506;0,23
20;27/07/10;8,075888;117,129997;245,395203;246,561569;21,768255;29,78863;20,349319;2,401757;44,343342;4,11;25,745308;17,622189;0,54;-0,0051616;0;-0,007361557;-0,007361562;-0,007665137;-0,003967309;-0,003500364;-0,013922155;-0,002624138;0,003577925;-0,006396421;-0,00818336;-0,005213807;0,82
21;28/07/10;7,980474;117,129997;241,27066;242,417419;21,387424;29,517748;20,185965;2,325985;44,076214;4,144;25,368902;17,293245;0,32;-0,004768977;-0,001002246;0,000573474;0,000573467;-0,000464242;-0,001186486;0,001336863;-0,045138766;-0,007193722;-0,007825338;0,00157249;-0,018890465;-0,006867829;0,36
22;29/07/10;7,89332;116,860001;241,589462;242,737732;21,364574;29,437216;20,248198;2,096371;43,352142;4,07;25,460924;16,557167;0,29;-0,001449676;0,003811078;-0,000125372;-0,00012538;0,007064296;0,000755388;-0,003686197;0,002844773;-0,003606456;-0,00883926;0,000142507;0,008188234;0,000414495;0,06
23;30/07/10;7,867016;117,889999;241,51973;242,667664;21,714935;29,488462;20,077063;2,110148;42,993629;3,988;25,46928;16,872299;0,54;0,007697327;0,007957547;0,004951896;0,004951932;0,009194197;0,014421313;0,008662765;-0,000472802;0,006344287;0,020836526;0,013895253;-0,006682439;0,007646483;2,09
24;02/08/10;8,007692;120,07;244,289337;245,450455;22,17955;30,484104;20,481556;2,107852;43,626301;4,184;26,297346;16,614674;0,4;0,000132692;0,008417857;-0,000513924;-0,000513952;-0,010109151;-0,005880203;-0,002813067;-0,011505323;-0,015095035;0,020872844;0,013330345;0,004605222;7,74E-05;0,56
25;03/08/10;8,010139;122,419998;244,000427;245,160156;21,669235;30,074141;20,349319;2,052744;42,136005;4,39;27,117039;16,791792;0,42;0,001737517;0,017930237;0,014379714;0,014379697;0,004102239;0,002214415;-0,007197931;0,018078576;-0,002834971;-0,013871264;0,006514913;-0,003284509;0,004345719;0,74
26;04/08/10;8,04225;127,580002;252,214645;253,413406;21,874887;30,227877;20,014832;2,139998;41,861847;4,252;27,526892;16,665277;0,42;-0,002119055;0,000850191;0,001524106;0,001524128;-0,000151251;-0,000210375;-0,006119176;0,005556158;0,002254961;-0,016869948;0,006678703;-0,00573234;-0,001067825;0,22
27;05/08/10;8,003105;127,830002;253,101318;254,304306;21,86727;30,213238;19,734802;2,167552;42,079769;4,09;27,95348;16,446754;0,67;-0,002680081;0,001661579;-0,006788153;-0,006788134;-0,000454029;-0,008823449;0,003070321;0,005031478;0,001159328;-0,018658876;0,000389585;0,00387013;-0,002417525;0,36
28;06/08/10;7,953869;128,320007;249,176025;250,360367;21,844421;29,605597;19,874815;2,19281;42,192249;3,918;27,978567;16,593971;0;0,002763154;0,001722639;0,004431215;0,004431215;0,000302805;-0,006709833;0,001018723;0,004073422;0,002597024;0,000221635;0,000519085;0,015376935;0,002562335;0,62
29;09/08/10;8,004636;128,830002;251,731445;252,927933;21,859657;29,151707;19,92149;2,213474;42,445309;3,92;28,012028;17,192034;0;-0,003900137;0,003926339;-0,001411701;-0,001411716;-0,007017248;-0,007147599;-0,009255471;-0,018405187;0,002867629;-0,012817283;-0,002079838;0,003068797;-0,004465285;0,79
30;10/08/10;7,933073;130;250,914505;252,107101;21,509291;28,675856;19,501425;2,121628;42,726501;3,806;27,878199;17,313946;0,35;-0,015716721;-0,013952122;-0,010445028;-0,01044502;-0,008228228;-0,015806727;-0,003653084;-0,017258828;-0,003659447;-0,026585757;-0,017821079;-0,009553648;-0,012760474;2,91
31;11/08/10;7,651115;125,889999;244,951859;246,116119;21,105608;27,650925;19,338076;2,038968;42,367992;3,58;26,757383;16,937231;0,46;0,00276859;0,002305229;0,000238382;0,000238387;-0,001569995;0,000459716;-0,006512424;0,003895027;-0,002022355;-0,007340363;0,001896548;-0,003142517;-0,000732148;0,50
32;12/08/10;7,700046;126,559998;245,086349;246,251251;21,029448;27,68021;19,050257;2,057337;42,171158;3,52;26,874487;16,815117;0;-0,004664665;-0,006464827;-0,005025001;-0,005025022;-0,004744724;-0,003575157;-0,001598933;0,02035742;-0,001232517;0,017412802;-0,00135382;-0,004546598;-3,84E-05;0,47
33;13/08/10;7,617784;124,690002;242,266922;243,418411;20,800949;27,453279;18,980249;2,15607;42,051647;3,664;26,790842;16,639999;0,23;-0,002552841;0,004780121;-0,000679195;-0,000679169;0,001111593;0,002194703;0,001776351;-0,011244246;-0,000363272;0,010770119;-0,001766291;0,003652895;0,000583397;0,10
34;16/08/10;7,573137;126,07;241,888336;243,03804;20,854258;27,592365;19,058041;2,100964;42,016487;3,756;26,682104;16,78055;0;0,007527829;0,009506378;0,004386985;0,004386986;0,014506566;-0,002426693;0,006017041;0,005658308;0,00376218;0,00847319;0,006083533;0,003149327;0,005919303;1,31
35;17/08/10;7,70555;128,860001;244,344131;245,505508;21,562609;27,438618;19,323923;2,128516;42,382046;3,83;27,058493;16,902678;0;0,001891698;0,002654371;-0,007474548;-0,007474555;0,008356412;0,004725232;0,001929297;0,002336448;0,00330117;-0,008704506;0,002543414;-0,002851179;0,000102771;0,21
36;18/08/10;7,739187;129,649994;240,174759;241,316315;21,98152;27,738787;19,409958;2,139998;42,705429;3,754;27,217424;16,792074;0;-0,005508994;-0,007023945;-0,012964155;-0,012964149;-0,009739364;-0,009502138;-0,006700667;0,025340923;-0,004021998;0,000462507;-0,010127179;-0,007513388;-0,005021879;1,74
37;19/08/10;7,641636;127,57;233,111237;234,219223;21,494055;27,138468;19,112783;2,268581;42,31176;3,758;26,590092;16,504066;0;-0,000417466;0,000646354;-0,005557223;-0,005557244;-0,000770142;0,000819408;-0,003747832;0,003938174;-0,001518091;0,007106587;-0,002465961;-0,00937688;-0,00140836;0,28
38;20/08/10;7,634294;127,760002;230,147354;231,241241;21,455973;27,18972;18,948555;2,289246;42,164116;3,82;26,439539;16,151545;0;-0,006732188;-0,003961211;0,001922703;0,00192273;-0,005273568;-0,00305104;0,000895327;-0,006583667;0,000361959;0,022810408;-0,001513905;0,000123617;7,68E-05;0,50
39;23/08/10;7,516864;126,599998;231,168518;232,267273;21,197012;26,999374;18,987659;2,254804;42,199272;4,026;26,347534;16,156143;0,83;-0,01049722;-0,007159714;-0,012031542;-0,012031585;-0,000780903;-0,007962398;-0,004314198;-0,004445156;-0,002685117;-0,020542546;-0,006388747;0,003332158;-0,007125581;1,48
40;24/08/10;7,337354;124,529999;224,852203;225,920914;21,158932;26,508875;18,799973;2,231843;41,939171;3,84;25,962782;16,280579;0,18;0,005325055;0,00801648;0,003096592;0,003096616;0,008514286;0,000239863;0,001082539;0,008845656;7,29E-05;0,015551848;0,012684937;0,00122721;0,005646167;0,45
41;25/08/10;7,427874;126,849998;226,461166;227,537537;21,577843;26,52352;18,846893;2,277767;41,946213;3,98;26,73229;16,326649;0,31;-0,004692012;-0,006867131;-0,003491252;-0,003491258;0,000765675;-0,00725249;-0,005075354;-0,00528586;-0,000947352;-0,003285976;-0,001497313;-0,005861717;-0,00391517;0,76
42;26/08/10;7,348057;124,860001;224,647964;225,715714;21,615919;26,084269;18,627922;2,250212;41,854813;3,95;26,640284;16,107767;0,45;0,002415266;0,006147564;0,007494518;0,007494514;0,005474537;0,011665236;0,002000892;0,013954566;0,001892404;-0,001100874;0,00703324;0,007391254;0,005988593;1,82
43;27/08/10;7,389036;126,639999;228,558304;229,644638;21,890125;26,794392;18,713943;2,323689;42,03759;3,94;27,075226;16,384251;0,83;0,001578776;-0,009885332;-0,0058509;-0,005850878;-0,011483938;-0,008991886;-0,005295196;-0,021103577;-0,003134135;0,003731641;-0,006215804;-0,009695879;-0,006849759;1,54
44;30/08/10;7,415946;123,790001;225,499771;226,571579;21,318876;26,245329;18,487156;2,213474;41,735313;3,974;26,690474;16,022516;0,78;0,00107329;0,003633411;-0,00256909;-0,002569112;0,00103148;0,006134576;-0,003134315;-0,014195354;0,002189083;-0,008608915;-0,00259368;-0,003511441;-0,001926672;0,01
45;31/08/10;7,434296;124,830002;224,169754;225,235229;21,36957;26,618685;18,354214;2,142294;41,946213;3,896;26,531549;15,89349;0,73;0,012727812;0,025864139;0,009837477;0,009837486;0,013070638;0,016178145;0,007884873;0,003246221;0,000945052;0,02110436;0,011751057;0,009650662;0,011841494;3,05
46;01/09/10;7,655396;132,490005;229,305511;230,395401;22,02249;27,628973;18,690489;2,158367;42,03759;4,09;27,259235;16,25062;0,24;0,003180607;0,008825719;0,002680518;0,002680511;0,011067304;0,004806367;0,000726149;0,007784223;0,001956511;0,012765055;0,003583294;0,008837921;0,005741182;0,97
